date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,1.63,0.02,1.65,1.61,40.65,CCET,Etron,1.61
2020-01-03,1.89,0.03,1.92,1.87,34.71,CCET,Etron,3.4800000000000004
2020-01-06,2.48,0.04,2.52,2.45,41.03,CCET,Etron,5.930000000000001
2020-01-07,2.56,0.02,2.58,2.54,45.57,CCET,Etron,8.47
2020-01-08,1.96,0.02,1.98,1.93,44.86,CCET,Etron,10.4
2020-01-09,1.03,0.1,1.13,0.93,19.65,CCET,Etron,11.33
2020-01-10,0.27,0.08,0.35,0.19,7.62,CCET,Etron,11.52
2020-01-13,2.2,0.07,2.28,2.13,40.59,CCET,Etron,13.649999999999999
2020-01-14,1.08,0.17,1.25,0.91,51.09,CCET,Etron,14.559999999999999
2020-01-15,1.13,0.6,1.73,0.53,70.64,CCET,Etron,15.089999999999998
2020-01-16,1.15,0.06,1.21,1.08,35.74,CCET,Etron,16.169999999999998
2020-01-17,0.35,0.05,0.4,0.3,13.72,CCET,Etron,16.47
2020-01-20,1.42,0.09,1.51,1.33,33.35,CCET,Etron,17.799999999999997
2020-01-21,0.5,0.02,0.53,0.48,41.52,CCET,Etron,18.279999999999998
2020-01-22,0.63,0.03,0.66,0.6,27.45,CCET,Etron,18.88
2020-01-23,0.72,0.06,0.78,0.67,29.47,CCET,Etron,19.55
2020-01-24,0.17,0.04,0.21,0.13,22.98,CCET,Etron,19.68
2020-01-27,0.09,0.02,0.11,0.07,8.22,CCET,Etron,19.75
2020-01-28,0.14,0.06,0.2,0.08,12.57,CCET,Etron,19.83
2020-01-29,0.11,0.2,0.31,-0.09,35.39,CCET,Etron,19.74
2020-01-30,0.01,0.09,0.1,-0.07,19.43,CCET,Etron,19.669999999999998
2020-01-31,0.39,0.13,0.52,0.26,58.42,CCET,Etron,19.93
2020-02-03,0.54,0.16,0.69,0.38,60.46,CCET,Etron,20.31
2020-02-04,0.04,0.05,0.09,-0.02,47.4,CCET,Etron,20.29
2020-02-05,0.05,0.06,0.12,-0.01,30.51,CCET,Etron,20.279999999999998
2020-02-06,1.27,0.48,1.75,0.79,43.26,CCET,Etron,21.069999999999997
2020-02-07,0.25,0.03,0.28,0.22,39.42,CCET,Etron,21.289999999999996
2020-02-11,1.34,0.19,1.53,1.14,53.21,CCET,Etron,22.429999999999996
2020-02-12,1.06,0.74,1.8,0.32,77.13,CCET,Etron,22.749999999999996
2020-02-13,1.31,0.47,1.79,0.84,54.66,CCET,Etron,23.589999999999996
2020-02-14,0.69,0.18,0.88,0.51,33.82,CCET,Etron,24.099999999999998
2020-02-17,0.84,0.6,1.45,0.24,62.93,CCET,Etron,24.339999999999996
2020-02-18,0.68,0.04,0.72,0.64,40.35,CCET,Etron,24.979999999999997
2020-02-19,0.32,0.01,0.33,0.31,44.16,CCET,Etron,25.289999999999996
2020-02-20,0.85,0.04,0.88,0.81,46.11,CCET,Etron,26.099999999999994
2020-02-21,0.78,0.04,0.83,0.74,37.22,CCET,Etron,26.839999999999993
2020-02-24,0.13,0.03,0.15,0.1,12.88,CCET,Etron,26.939999999999994
2020-02-25,0.1,0.03,0.13,0.07,19.15,CCET,Etron,27.009999999999994
2020-02-26,1.8,0.1,1.9,1.7,44.39,CCET,Etron,28.709999999999994
2020-02-27,0.89,0.12,1.01,0.77,31.7,CCET,Etron,29.479999999999993
2020-02-28,0.13,0.04,0.16,0.09,13.45,CCET,Etron,29.569999999999993
2020-03-02,0.67,0.06,0.72,0.61,28.69,CCET,Etron,30.179999999999993
2020-03-03,4.2,0.05,4.25,4.15,44.27,CCET,Etron,34.32999999999999
2020-03-04,0.03,0.01,0.04,0.03,24.87,CCET,Etron,34.35999999999999
2020-03-05,0.05,0.02,0.07,0.02,10.93,CCET,Etron,34.379999999999995
2020-03-06,0.0,0.01,0.01,-0.01,1.48,CCET,Etron,34.37
2020-03-09,1.03,0.03,1.06,1.0,30.37,CCET,Etron,35.37
2020-03-10,0.01,0.01,0.02,-0.0,6.21,CCET,Etron,35.37
2020-03-11,0.06,0.18,0.24,-0.12,31.18,CCET,Etron,35.25
2020-03-12,1.72,0.89,2.6,0.83,52.66,CCET,Etron,36.08
2020-03-13,5.78,1.9,7.68,3.88,62.6,CCET,Etron,39.96
2020-03-16,1.46,0.0,1.46,1.46,42.48,CCET,Etron,41.42
2020-03-17,0.93,0.03,0.96,0.9,45.51,CCET,Etron,42.32
2020-03-18,1.63,0.05,1.68,1.58,49.14,CCET,Etron,43.9
2020-03-19,1.33,0.14,1.48,1.19,48.03,CCET,Etron,45.089999999999996
2020-03-20,2.99,0.05,3.04,2.94,34.99,CCET,Etron,48.029999999999994
2020-03-23,0.91,0.08,0.99,0.83,49.8,CCET,Etron,48.85999999999999
2020-03-24,0.0,0.01,0.01,-0.01,15.96,CCET,Etron,48.849999999999994
2020-03-25,0.0,0.0,0.0,-0.0,38.48,CCET,Etron,48.849999999999994
2020-03-26,0.0,0.05,0.05,-0.05,10.4,CCET,Etron,48.8
2020-03-27,0.28,0.1,0.37,0.18,27.25,CCET,Etron,48.98
2020-03-30,0.36,0.26,0.62,0.11,71.91,CCET,Etron,49.089999999999996
2020-03-31,0.07,0.09,0.15,-0.02,73.96,CCET,Etron,49.06999999999999
2020-04-01,0.01,0.06,0.06,-0.05,22.39,CCET,Etron,49.019999999999996
2020-04-02,0.19,0.06,0.25,0.13,29.7,CCET,Etron,49.15
2020-04-03,0.14,0.13,0.26,0.01,49.59,CCET,Etron,49.16
2020-04-07,0.01,0.26,0.27,-0.25,16.75,CCET,Etron,48.91
2020-04-08,0.66,0.09,0.76,0.57,27.37,CCET,Etron,49.48
2020-04-09,1.53,0.17,1.7,1.37,17.22,CCET,Etron,50.849999999999994
2020-04-10,0.06,0.23,0.29,-0.17,10.51,CCET,Etron,50.67999999999999
2020-04-13,0.07,0.73,0.8,-0.66,10.15,CCET,Etron,50.019999999999996
2020-04-14,0.15,0.1,0.25,0.05,3.46,CCET,Etron,50.06999999999999
2020-04-15,0.06,0.04,0.1,0.02,6.38,CCET,Etron,50.089999999999996
2020-04-16,0.01,0.05,0.06,-0.05,3.9,CCET,Etron,50.04
2020-04-17,0.0,0.03,0.03,-0.03,5.61,CCET,Etron,50.01
2020-04-20,0.0,0.01,0.01,-0.01,2.48,CCET,Etron,50.0
2020-04-21,0.0,0.03,0.03,-0.03,4.69,CCET,Etron,49.97
2020-04-22,0.41,0.07,0.49,0.34,16.09,CCET,Etron,50.31
2020-04-23,0.11,0.73,0.84,-0.62,10.92,CCET,Etron,49.690000000000005
2020-04-24,0.02,0.03,0.06,-0.01,6.37,CCET,Etron,49.68000000000001
2020-04-27,0.02,0.03,0.05,-0.01,6.73,CCET,Etron,49.67000000000001
2020-04-28,0.0,0.01,0.01,-0.01,3.14,CCET,Etron,49.66000000000001
2020-04-29,0.07,0.08,0.15,-0.01,4.35,CCET,Etron,49.65000000000001
2020-04-30,0.06,0.08,0.14,-0.02,3.28,CCET,Etron,49.63000000000001
2020-05-05,0.02,0.04,0.05,-0.02,4.08,CCET,Etron,49.61000000000001
2020-05-07,0.01,0.05,0.06,-0.04,4.08,CCET,Etron,49.57000000000001
2020-05-08,0.04,0.44,0.49,-0.4,20.15,CCET,Etron,49.17000000000001
2020-05-11,0.02,0.05,0.07,-0.03,3.64,CCET,Etron,49.14000000000001
2020-05-12,0.38,0.48,0.86,-0.1,6.71,CCET,Etron,49.040000000000006
2020-05-13,1.64,1.0,2.64,0.64,12.25,CCET,Etron,49.68000000000001
2020-05-14,0.37,0.34,0.72,0.03,16.56,CCET,Etron,49.71000000000001
2020-05-15,0.41,0.11,0.52,0.31,29.86,CCET,Etron,50.02000000000001
2020-05-18,0.0,0.13,0.13,-0.13,11.55,CCET,Etron,49.89000000000001
2020-05-19,0.0,0.21,0.21,-0.21,11.51,CCET,Etron,49.68000000000001
2020-05-20,0.01,0.19,0.2,-0.18,12.2,CCET,Etron,49.50000000000001
2020-05-21,0.05,0.98,1.03,-0.93,12.07,CCET,Etron,48.57000000000001
2020-05-22,1.85,0.99,2.84,0.86,5.75,CCET,Etron,49.43000000000001
2020-05-25,0.35,0.19,0.54,0.16,3.16,CCET,Etron,49.59
2020-05-26,0.14,0.33,0.47,-0.19,3.34,CCET,Etron,49.400000000000006
2020-05-27,0.05,0.56,0.6,-0.51,7.64,CCET,Etron,48.89000000000001
2020-05-28,0.35,0.47,0.82,-0.13,8.32,CCET,Etron,48.760000000000005
2020-05-29,0.54,0.09,0.63,0.45,8.61,CCET,Etron,49.21000000000001
2020-06-01,0.73,0.27,1.0,0.47,19.13,CCET,Etron,49.68000000000001
2020-06-02,0.08,0.18,0.25,-0.1,3.58,CCET,Etron,49.580000000000005
2020-06-04,0.14,0.09,0.22,0.05,2.27,CCET,Etron,49.63
2020-06-05,0.0,0.34,0.34,-0.34,6.64,CCET,Etron,49.29
2020-06-08,0.43,0.41,0.84,0.02,10.93,CCET,Etron,49.31
2020-06-09,1.79,2.45,4.24,-0.66,7.97,CCET,Etron,48.650000000000006
2020-06-10,0.64,1.21,1.85,-0.57,0.22,CCET,Etron,48.080000000000005
2020-06-11,0.4,0.68,1.08,-0.29,6.17,CCET,Etron,47.790000000000006
2020-06-12,0.67,0.09,0.76,0.58,9.82,CCET,Etron,48.370000000000005
2020-06-15,0.89,0.28,1.17,0.61,20.51,CCET,Etron,48.980000000000004
2020-06-16,0.66,0.84,1.5,-0.18,15.68,CCET,Etron,48.800000000000004
2020-06-17,0.52,0.56,1.08,-0.04,15.07,CCET,Etron,48.760000000000005
2020-06-18,0.59,0.19,0.78,0.4,21.77,CCET,Etron,49.160000000000004
2020-06-19,0.16,0.23,0.4,-0.07,18.71,CCET,Etron,49.09
2020-06-22,0.56,0.23,0.79,0.32,16.94,CCET,Etron,49.410000000000004
2020-06-23,1.78,0.56,2.34,1.23,18.88,CCET,Etron,50.64
2020-06-24,4.06,0.87,4.93,3.18,32.44,CCET,Etron,53.82
2020-06-25,1.17,0.33,1.5,0.84,23.17,CCET,Etron,54.660000000000004
2020-06-26,0.16,0.06,0.22,0.1,6.77,CCET,Etron,54.760000000000005
2020-06-29,2.49,1.01,3.5,1.48,32.74,CCET,Etron,56.24
2020-06-30,0.84,0.44,1.28,0.4,19.44,CCET,Etron,56.64
2020-07-01,1.13,0.15,1.29,0.98,28.81,CCET,Etron,57.62
2020-07-02,1.33,0.32,1.66,1.01,25.86,CCET,Etron,58.629999999999995
2020-07-03,1.31,0.31,1.63,1.0,33.54,CCET,Etron,59.629999999999995
2020-07-07,2.26,2.75,5.01,-0.49,8.86,CCET,Etron,59.13999999999999
2020-07-08,0.11,3.75,3.86,-3.64,6.63,CCET,Etron,55.49999999999999
2020-07-09,6.02,9.2,15.22,-3.18,6.94,CCET,Etron,52.31999999999999
2020-07-10,2.6,2.14,4.74,0.45,8.82,CCET,Etron,52.769999999999996
2020-07-13,6.28,7.05,13.32,-0.77,11.16,CCET,Etron,51.99999999999999
2020-07-14,5.12,3.04,8.15,2.08,8.44,CCET,Etron,54.07999999999999
2020-07-15,1.17,2.65,3.83,-1.48,10.97,CCET,Etron,52.599999999999994
2020-07-16,7.84,7.28,15.12,0.56,13.42,CCET,Etron,53.16
2020-07-17,1.79,1.17,2.96,0.62,9.51,CCET,Etron,53.779999999999994
2020-07-20,0.79,0.88,1.68,-0.09,10.85,CCET,Etron,53.68999999999999
2020-07-21,5.49,2.61,8.1,2.87,7.87,CCET,Etron,56.55999999999999
2020-07-22,1.64,3.11,4.76,-1.47,16.52,CCET,Etron,55.08999999999999
2020-07-23,1.05,2.06,3.11,-1.01,14.84,CCET,Etron,54.07999999999999
2020-07-24,1.25,0.82,2.08,0.43,7.29,CCET,Etron,54.50999999999999
2020-07-29,14.16,10.11,24.27,4.05,8.4,CCET,Etron,58.55999999999999
2020-07-30,10.42,15.23,25.65,-4.81,9.53,CCET,Etron,53.749999999999986
2020-07-31,2.33,2.26,4.6,0.07,10.98,CCET,Etron,53.819999999999986
2020-08-03,2.66,2.27,4.94,0.39,17.89,CCET,Etron,54.20999999999999
2020-08-04,3.99,1.9,5.89,2.08,12.85,CCET,Etron,56.289999999999985
2020-08-05,0.84,1.19,2.03,-0.35,12.35,CCET,Etron,55.93999999999998
2020-08-06,0.28,1.31,1.59,-1.02,12.61,CCET,Etron,54.91999999999998
2020-08-07,1.83,1.58,3.4,0.25,17.35,CCET,Etron,55.16999999999998
2020-08-10,1.44,1.26,2.7,0.18,31.45,CCET,Etron,55.34999999999998
2020-08-11,0.42,0.82,1.24,-0.4,10.71,CCET,Etron,54.94999999999998
2020-08-13,0.43,0.5,0.93,-0.06,11.59,CCET,Etron,54.88999999999998
2020-08-14,1.23,1.75,2.98,-0.53,16.67,CCET,Etron,54.35999999999998
2020-08-17,0.95,1.65,2.59,-0.7,18.26,CCET,Etron,53.659999999999975
2020-08-18,3.18,0.54,3.73,2.64,34.87,CCET,Etron,56.299999999999976
2020-08-19,2.85,0.85,3.7,2.0,24.58,CCET,Etron,58.299999999999976
2020-08-20,2.33,1.59,3.92,0.75,59.71,CCET,Etron,59.049999999999976
2020-08-21,2.04,1.32,3.36,0.72,43.84,CCET,Etron,59.769999999999975
2020-08-24,6.89,4.53,11.42,2.36,19.67,CCET,Etron,62.129999999999974
2020-08-25,2.29,2.12,4.41,0.17,18.95,CCET,Etron,62.299999999999976
2020-08-26,2.33,2.53,4.86,-0.21,17.4,CCET,Etron,62.089999999999975
2020-08-27,0.68,1.44,2.12,-0.76,20.46,CCET,Etron,61.32999999999998
2020-08-28,2.08,1.19,3.27,0.89,24.08,CCET,Etron,62.21999999999998
2020-08-31,0.31,0.58,0.89,-0.27,19.91,CCET,Etron,61.949999999999974
2020-09-01,0.48,0.12,0.6,0.36,12.56,CCET,Etron,62.309999999999974
2020-09-02,0.56,0.08,0.65,0.48,10.88,CCET,Etron,62.78999999999997
2020-09-03,2.16,1.01,3.16,1.15,43.99,CCET,Etron,63.93999999999997
2020-09-08,2.04,0.1,2.14,1.95,31.24,CCET,Etron,65.88999999999997
2020-09-09,0.9,1.57,2.47,-0.67,9.3,CCET,Etron,65.21999999999997
2020-09-10,2.95,0.39,3.34,2.57,26.37,CCET,Etron,67.78999999999996
2020-09-11,2.22,0.9,3.12,1.32,33.94,CCET,Etron,69.10999999999996
2020-09-14,3.73,0.07,3.8,3.65,35.92,CCET,Etron,72.75999999999996
2020-09-15,3.54,1.18,4.72,2.36,20.42,CCET,Etron,75.11999999999996
2020-09-16,6.43,2.36,8.79,4.08,10.4,CCET,Etron,79.19999999999996
2020-09-17,8.01,2.58,10.59,5.43,19.47,CCET,Etron,84.62999999999997
2020-09-18,8.39,3.25,11.64,5.14,16.47,CCET,Etron,89.76999999999997
2020-09-21,3.15,0.36,3.52,2.79,17.56,CCET,Etron,92.55999999999997
2020-09-22,2.22,1.26,3.48,0.97,9.58,CCET,Etron,93.52999999999997
2020-09-23,10.34,6.6,16.93,3.74,10.23,CCET,Etron,97.26999999999997
2020-09-24,17.11,17.28,34.39,-0.17,7.64,CCET,Etron,97.09999999999997
2020-09-25,26.71,23.23,49.93,3.48,11.1,CCET,Etron,100.57999999999997
2020-09-28,10.4,9.89,20.29,0.51,12.83,CCET,Etron,101.08999999999997
2020-09-29,3.2,3.82,7.02,-0.62,10.31,CCET,Etron,100.46999999999997
2020-09-30,4.55,4.74,9.29,-0.18,11.55,CCET,Etron,100.28999999999996
2020-10-01,5.84,4.14,9.98,1.69,12.03,CCET,Etron,101.97999999999996
2020-10-02,6.84,10.79,17.63,-3.94,22.05,CCET,Etron,98.03999999999996
2020-10-05,8.72,10.33,19.05,-1.61,18.09,CCET,Etron,96.42999999999996
2020-10-06,4.47,3.56,8.03,0.91,8.08,CCET,Etron,97.33999999999996
2020-10-07,4.45,5.35,9.8,-0.9,18.61,CCET,Etron,96.43999999999996
2020-10-08,12.53,16.39,28.91,-3.86,11.58,CCET,Etron,92.57999999999996
2020-10-09,21.79,12.11,33.9,9.67,21.86,CCET,Etron,102.24999999999996
2020-10-12,5.48,7.18,12.66,-1.71,31.45,CCET,Etron,100.53999999999996
2020-10-14,34.22,22.25,56.48,11.97,16.05,CCET,Etron,112.50999999999996
2020-10-15,30.16,30.5,60.66,-0.34,23.93,CCET,Etron,112.16999999999996
2020-10-16,11.9,15.44,27.34,-3.54,30.42,CCET,Etron,108.62999999999995
2020-10-19,4.27,10.41,14.68,-6.14,11.48,CCET,Etron,102.48999999999995
2020-10-20,16.43,10.92,27.35,5.51,22.78,CCET,Etron,107.99999999999996
2020-10-21,5.75,8.04,13.79,-2.29,25.68,CCET,Etron,105.70999999999995
2020-10-22,6.18,4.61,10.79,1.57,20.55,CCET,Etron,107.27999999999994
2020-10-26,3.69,2.92,6.61,0.77,13.67,CCET,Etron,108.04999999999994
2020-10-27,4.16,5.71,9.87,-1.54,14.69,CCET,Etron,106.50999999999993
2020-10-28,1.12,4.81,5.93,-3.69,15.69,CCET,Etron,102.81999999999994
2020-10-29,2.73,2.19,4.92,0.54,28.84,CCET,Etron,103.35999999999994
2020-10-30,2.53,3.14,5.67,-0.61,21.79,CCET,Etron,102.74999999999994
2020-11-02,3.68,4.6,8.27,-0.92,23.26,CCET,Etron,101.82999999999994
2020-11-03,2.3,2.69,4.99,-0.39,16.8,CCET,Etron,101.43999999999994
2020-11-04,2.64,4.96,7.6,-2.32,12.45,CCET,Etron,99.11999999999995
2020-11-05,1.84,1.39,3.22,0.45,10.27,CCET,Etron,99.56999999999995
2020-11-06,1.73,5.72,7.45,-3.98,19.62,CCET,Etron,95.58999999999995
2020-11-09,3.22,2.54,5.77,0.68,9.55,CCET,Etron,96.26999999999995
