date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,44.04,38.91,82.95,5.13,38.24,TU,Food,5.13
2020-01-03,65.79,33.35,99.14,32.44,26.18,TU,Food,37.57
2020-01-06,27.46,83.47,110.93,-56.01,27.22,TU,Food,-18.439999999999998
2020-01-07,73.19,29.88,103.07,43.3,25.41,TU,Food,24.86
2020-01-08,48.48,58.89,107.37,-10.41,29.07,TU,Food,14.45
2020-01-09,100.32,46.76,147.08,53.56,38.22,TU,Food,68.01
2020-01-10,42.68,68.06,110.74,-25.38,20.02,TU,Food,42.63000000000001
2020-01-13,68.1,52.6,120.71,15.5,20.37,TU,Food,58.13000000000001
2020-01-14,56.56,164.82,221.38,-108.26,27.01,TU,Food,-50.129999999999995
2020-01-15,40.39,104.33,144.72,-63.93,29.34,TU,Food,-114.06
2020-01-16,25.6,25.97,51.57,-0.37,20.12,TU,Food,-114.43
2020-01-17,42.76,26.4,69.16,16.35,27.15,TU,Food,-98.08000000000001
2020-01-20,50.97,41.86,92.83,9.1,29.1,TU,Food,-88.98000000000002
2020-01-21,105.46,49.45,154.91,56.0,31.53,TU,Food,-32.98000000000002
2020-01-22,49.09,64.56,113.65,-15.48,17.61,TU,Food,-48.46000000000002
2020-01-23,44.51,66.99,111.51,-22.48,22.76,TU,Food,-70.94000000000003
2020-01-24,64.56,69.84,134.4,-5.28,21.05,TU,Food,-76.22000000000003
2020-01-27,22.74,82.01,104.75,-59.27,19.62,TU,Food,-135.49000000000004
2020-01-28,103.79,92.52,196.32,11.27,28.66,TU,Food,-124.22000000000004
2020-01-29,24.71,47.82,72.53,-23.11,27.38,TU,Food,-147.33000000000004
2020-01-30,210.53,59.22,269.75,151.31,35.89,TU,Food,3.9799999999999613
2020-01-31,195.96,109.26,305.22,86.71,32.1,TU,Food,90.68999999999996
2020-02-03,160.78,94.54,255.32,66.24,22.41,TU,Food,156.92999999999995
2020-02-04,104.55,62.64,167.19,41.91,25.56,TU,Food,198.83999999999995
2020-02-05,78.04,98.47,176.52,-20.43,31.63,TU,Food,178.40999999999994
2020-02-06,39.53,75.85,115.38,-36.32,24.83,TU,Food,142.08999999999995
2020-02-07,69.26,75.93,145.19,-6.68,32.53,TU,Food,135.40999999999994
2020-02-11,101.08,107.31,208.39,-6.23,27.64,TU,Food,129.17999999999995
2020-02-12,99.54,79.85,179.39,19.69,38.98,TU,Food,148.86999999999995
2020-02-13,48.91,53.41,102.32,-4.5,34.97,TU,Food,144.36999999999995
2020-02-14,27.06,44.62,71.68,-17.56,37.94,TU,Food,126.80999999999995
2020-02-17,27.94,51.89,79.83,-23.95,30.41,TU,Food,102.85999999999994
2020-02-18,79.49,165.56,245.05,-86.07,21.18,TU,Food,16.78999999999995
2020-02-19,66.64,73.34,139.98,-6.69,22.94,TU,Food,10.099999999999948
2020-02-20,41.9,71.24,113.14,-29.34,22.01,TU,Food,-19.24000000000005
2020-02-21,69.69,74.32,144.01,-4.63,26.85,TU,Food,-23.87000000000005
2020-02-24,91.54,68.54,160.08,23.01,31.49,TU,Food,-0.8600000000000492
2020-02-25,84.75,126.07,210.82,-41.32,29.82,TU,Food,-42.18000000000005
2020-02-26,156.6,182.38,338.98,-25.79,30.77,TU,Food,-67.97000000000006
2020-02-27,77.24,66.82,144.06,10.42,30.03,TU,Food,-57.550000000000054
2020-02-28,112.89,131.23,244.12,-18.35,39.65,TU,Food,-75.90000000000006
2020-03-02,79.83,150.91,230.74,-71.09,40.1,TU,Food,-146.99000000000007
2020-03-03,59.27,106.76,166.04,-47.49,26.62,TU,Food,-194.48000000000008
2020-03-04,165.04,51.7,216.74,113.34,34.59,TU,Food,-81.14000000000007
2020-03-05,87.28,75.65,162.93,11.63,29.08,TU,Food,-69.51000000000008
2020-03-06,50.99,103.38,154.37,-52.38,29.18,TU,Food,-121.89000000000007
2020-03-09,63.76,153.98,217.74,-90.23,33.0,TU,Food,-212.12000000000006
2020-03-10,91.35,167.77,259.12,-76.42,28.42,TU,Food,-288.5400000000001
2020-03-11,61.45,123.96,185.41,-62.51,42.44,TU,Food,-351.05000000000007
2020-03-12,174.08,146.91,321.0,27.17,42.73,TU,Food,-323.88000000000005
2020-03-13,283.34,221.13,504.47,62.21,50.69,TU,Food,-261.6700000000001
2020-03-16,87.91,200.62,288.53,-112.71,34.48,TU,Food,-374.38000000000005
2020-03-17,85.08,147.95,233.03,-62.87,30.38,TU,Food,-437.25000000000006
2020-03-18,62.25,92.79,155.04,-30.53,30.25,TU,Food,-467.7800000000001
2020-03-19,151.59,144.41,296.0,7.18,39.74,TU,Food,-460.6000000000001
2020-03-20,131.51,110.38,241.89,21.13,29.69,TU,Food,-439.4700000000001
2020-03-23,103.04,114.47,217.51,-11.43,32.14,TU,Food,-450.9000000000001
2020-03-24,225.56,180.79,406.35,44.76,48.94,TU,Food,-406.1400000000001
2020-03-25,73.75,207.3,281.04,-133.55,29.33,TU,Food,-539.69
2020-03-26,111.84,239.04,350.89,-127.2,20.04,TU,Food,-666.8900000000001
2020-03-27,93.97,49.58,143.55,44.39,17.92,TU,Food,-622.5000000000001
2020-03-30,81.96,25.64,107.59,56.32,22.8,TU,Food,-566.1800000000001
2020-03-31,64.32,90.94,155.25,-26.62,25.72,TU,Food,-592.8000000000001
2020-04-01,91.47,57.87,149.34,33.6,28.65,TU,Food,-559.2
2020-04-02,88.75,60.74,149.49,28.0,19.22,TU,Food,-531.2
2020-04-03,39.76,35.07,74.83,4.69,32.58,TU,Food,-526.51
2020-04-07,129.9,133.46,263.37,-3.56,17.31,TU,Food,-530.0699999999999
2020-04-08,91.07,105.84,196.92,-14.77,27.8,TU,Food,-544.8399999999999
2020-04-09,77.52,108.13,185.65,-30.6,22.75,TU,Food,-575.4399999999999
2020-04-10,28.5,15.71,44.21,12.78,20.76,TU,Food,-562.66
2020-04-13,36.83,13.26,50.09,23.58,15.76,TU,Food,-539.0799999999999
2020-04-14,51.28,34.16,85.44,17.12,11.88,TU,Food,-521.9599999999999
2020-04-15,34.42,41.62,76.04,-7.19,23.07,TU,Food,-529.15
2020-04-16,92.6,130.18,222.78,-37.59,25.24,TU,Food,-566.74
2020-04-17,76.51,63.51,140.02,13.0,23.31,TU,Food,-553.74
2020-04-20,47.61,75.38,122.99,-27.77,37.63,TU,Food,-581.51
2020-04-21,46.47,92.83,139.3,-46.36,39.87,TU,Food,-627.87
2020-04-22,82.67,70.69,153.36,11.99,30.8,TU,Food,-615.88
2020-04-23,39.34,38.24,77.58,1.09,27.31,TU,Food,-614.79
2020-04-24,72.39,41.83,114.22,30.56,28.92,TU,Food,-584.23
2020-04-27,47.16,20.34,67.5,26.83,28.77,TU,Food,-557.4
2020-04-28,38.88,61.89,100.77,-23.02,28.85,TU,Food,-580.42
2020-04-29,56.17,21.21,77.38,34.96,27.14,TU,Food,-545.4599999999999
2020-04-30,44.16,70.51,114.67,-26.35,17.38,TU,Food,-571.81
2020-05-05,93.81,112.34,206.15,-18.52,28.69,TU,Food,-590.3299999999999
2020-05-07,104.31,98.05,202.36,6.26,25.99,TU,Food,-584.0699999999999
2020-05-08,41.53,48.39,89.92,-6.86,20.3,TU,Food,-590.93
2020-05-11,84.05,50.25,134.3,33.8,29.05,TU,Food,-557.13
2020-05-12,141.12,51.85,192.97,89.26,31.22,TU,Food,-467.87
2020-05-13,88.19,89.19,177.38,-0.99,15.15,TU,Food,-468.86
2020-05-14,47.52,65.69,113.22,-18.17,36.43,TU,Food,-487.03000000000003
2020-05-15,25.07,47.62,72.7,-22.55,23.31,TU,Food,-509.58000000000004
2020-05-18,46.22,18.19,64.4,28.03,29.7,TU,Food,-481.55000000000007
2020-05-19,65.28,23.36,88.64,41.92,18.3,TU,Food,-439.63000000000005
2020-05-20,53.1,33.03,86.14,20.07,16.87,TU,Food,-419.56000000000006
2020-05-21,77.38,48.95,126.33,28.43,32.54,TU,Food,-391.13000000000005
2020-05-22,72.6,51.8,124.39,20.8,36.45,TU,Food,-370.33000000000004
2020-05-25,86.62,35.06,121.68,51.56,25.2,TU,Food,-318.77000000000004
2020-05-26,63.44,44.23,107.67,19.21,17.34,TU,Food,-299.56000000000006
2020-05-27,47.8,43.0,90.81,4.8,18.66,TU,Food,-294.76000000000005
2020-05-28,194.9,174.69,369.6,20.21,14.18,TU,Food,-274.55000000000007
2020-05-29,351.27,230.87,582.15,120.4,28.16,TU,Food,-154.15000000000006
2020-06-01,51.52,65.66,117.17,-14.14,18.92,TU,Food,-168.29000000000008
2020-06-02,86.49,43.74,130.23,42.75,17.82,TU,Food,-125.54000000000008
2020-06-04,111.44,66.88,178.32,44.56,18.06,TU,Food,-80.98000000000008
2020-06-05,119.05,31.02,150.07,88.03,13.28,TU,Food,7.049999999999926
2020-06-08,131.81,99.98,231.79,31.83,17.34,TU,Food,38.879999999999924
2020-06-09,120.21,136.79,257.0,-16.58,12.87,TU,Food,22.299999999999926
2020-06-10,97.88,140.24,238.12,-42.36,21.07,TU,Food,-20.060000000000073
2020-06-11,89.65,138.92,228.57,-49.27,16.22,TU,Food,-69.33000000000007
2020-06-12,59.87,67.36,127.23,-7.5,17.39,TU,Food,-76.83000000000007
2020-06-15,67.07,80.97,148.04,-13.9,20.87,TU,Food,-90.73000000000008
2020-06-16,62.98,101.95,164.93,-38.97,24.57,TU,Food,-129.70000000000007
2020-06-17,67.1,94.73,161.83,-27.64,31.97,TU,Food,-157.3400000000001
2020-06-18,49.3,54.69,103.99,-5.39,26.79,TU,Food,-162.73000000000008
2020-06-19,66.22,56.42,122.64,9.81,38.55,TU,Food,-152.92000000000007
2020-06-22,18.37,28.01,46.37,-9.64,25.06,TU,Food,-162.56000000000006
2020-06-23,15.62,16.92,32.54,-1.31,22.93,TU,Food,-163.87000000000006
2020-06-24,8.23,42.71,50.95,-34.48,14.57,TU,Food,-198.35000000000005
2020-06-25,21.59,41.87,63.47,-20.28,22.36,TU,Food,-218.63000000000005
2020-06-26,60.98,13.68,74.66,47.3,30.53,TU,Food,-171.33000000000004
2020-06-29,78.91,58.88,137.78,20.03,18.99,TU,Food,-151.30000000000004
2020-06-30,127.49,110.11,237.6,17.38,18.63,TU,Food,-133.92000000000004
2020-07-01,40.78,53.91,94.7,-13.13,16.58,TU,Food,-147.05000000000004
2020-07-02,117.95,119.2,237.15,-1.26,26.74,TU,Food,-148.31000000000003
2020-07-03,16.22,62.51,78.73,-46.29,20.52,TU,Food,-194.60000000000002
2020-07-07,73.01,59.01,132.01,14.0,17.72,TU,Food,-180.60000000000002
2020-07-08,138.03,77.22,215.24,60.81,22.25,TU,Food,-119.79000000000002
2020-07-09,35.93,33.82,69.75,2.11,13.86,TU,Food,-117.68000000000002
2020-07-10,53.03,48.09,101.12,4.95,19.65,TU,Food,-112.73000000000002
2020-07-13,92.6,51.25,143.85,41.36,15.68,TU,Food,-71.37000000000002
2020-07-14,87.02,31.07,118.09,55.95,19.56,TU,Food,-15.420000000000016
2020-07-15,107.3,46.17,153.47,61.13,25.16,TU,Food,45.70999999999999
2020-07-16,90.68,54.7,145.39,35.98,25.33,TU,Food,81.68999999999998
2020-07-17,47.58,16.03,63.6,31.55,26.5,TU,Food,113.23999999999998
2020-07-20,70.4,38.26,108.66,32.15,24.61,TU,Food,145.39
2020-07-21,63.21,25.4,88.61,37.81,22.46,TU,Food,183.2
2020-07-22,89.05,59.09,148.14,29.96,24.32,TU,Food,213.16
2020-07-23,85.0,38.13,123.13,46.87,23.63,TU,Food,260.03
2020-07-24,49.87,18.59,68.46,31.28,27.57,TU,Food,291.30999999999995
2020-07-29,85.42,40.97,126.39,44.45,31.85,TU,Food,335.75999999999993
2020-07-30,37.85,25.0,62.86,12.85,22.78,TU,Food,348.60999999999996
2020-07-31,116.13,55.49,171.62,60.65,48.61,TU,Food,409.25999999999993
2020-08-03,25.35,48.66,74.01,-23.31,31.62,TU,Food,385.94999999999993
2020-08-04,31.47,55.51,86.98,-24.04,41.09,TU,Food,361.9099999999999
2020-08-05,76.29,55.07,131.36,21.21,30.82,TU,Food,383.1199999999999
2020-08-06,21.39,16.82,38.21,4.57,34.14,TU,Food,387.6899999999999
2020-08-07,19.19,54.77,73.96,-35.58,30.25,TU,Food,352.1099999999999
2020-08-10,35.55,29.27,64.82,6.28,19.79,TU,Food,358.3899999999999
2020-08-11,390.78,179.54,570.32,211.24,17.22,TU,Food,569.6299999999999
2020-08-13,269.43,136.49,405.92,132.94,22.88,TU,Food,702.5699999999999
2020-08-14,134.17,89.05,223.22,45.12,25.11,TU,Food,747.6899999999999
2020-08-17,263.24,75.65,338.89,187.59,18.08,TU,Food,935.28
2020-08-18,242.93,79.36,322.28,163.57,23.09,TU,Food,1098.85
2020-08-19,100.03,62.61,162.64,37.41,18.33,TU,Food,1136.26
2020-08-20,193.2,74.26,267.46,118.94,33.38,TU,Food,1255.2
2020-08-21,145.93,65.32,211.25,80.61,21.19,TU,Food,1335.81
2020-08-24,121.65,85.96,207.61,35.7,18.5,TU,Food,1371.51
2020-08-25,126.83,87.22,214.05,39.61,24.35,TU,Food,1411.12
2020-08-26,100.08,90.84,190.92,9.25,20.12,TU,Food,1420.37
2020-08-27,83.6,48.41,132.0,35.19,28.77,TU,Food,1455.56
2020-08-28,118.88,143.93,262.81,-25.04,29.41,TU,Food,1430.52
2020-08-31,266.37,77.08,343.45,189.29,30.63,TU,Food,1619.81
2020-09-01,312.07,77.34,389.41,234.73,25.74,TU,Food,1854.54
2020-09-02,156.83,55.53,212.36,101.3,24.7,TU,Food,1955.84
2020-09-03,85.17,71.19,156.36,13.99,21.62,TU,Food,1969.83
2020-09-08,94.19,31.75,125.95,62.44,33.71,TU,Food,2032.27
2020-09-09,93.93,77.86,171.79,16.06,42.48,TU,Food,2048.33
2020-09-10,88.67,76.56,165.23,12.11,37.52,TU,Food,2060.44
2020-09-11,120.42,135.89,256.31,-15.47,40.76,TU,Food,2044.97
2020-09-14,195.1,88.95,284.05,106.16,48.72,TU,Food,2151.13
2020-09-15,126.84,125.81,252.65,1.03,51.08,TU,Food,2152.1600000000003
2020-09-16,55.14,131.23,186.37,-76.1,40.57,TU,Food,2076.0600000000004
2020-09-17,86.35,44.14,130.48,42.21,28.03,TU,Food,2118.2700000000004
2020-09-18,131.62,98.56,230.18,33.06,38.54,TU,Food,2151.3300000000004
2020-09-21,40.49,46.26,86.75,-5.77,17.53,TU,Food,2145.5600000000004
2020-09-22,64.35,40.75,105.1,23.59,19.82,TU,Food,2169.1500000000005
2020-09-23,136.32,92.18,228.5,44.14,29.71,TU,Food,2213.2900000000004
2020-09-24,175.26,108.82,284.08,66.44,40.29,TU,Food,2279.7300000000005
2020-09-25,35.93,39.55,75.48,-3.62,42.8,TU,Food,2276.1100000000006
2020-09-28,74.77,65.41,140.17,9.36,34.69,TU,Food,2285.4700000000007
2020-09-29,120.68,64.55,185.23,56.13,53.01,TU,Food,2341.600000000001
2020-09-30,62.8,42.78,105.58,20.02,38.27,TU,Food,2361.620000000001
2020-10-01,66.71,78.44,145.15,-11.73,32.94,TU,Food,2349.890000000001
2020-10-02,33.77,57.6,91.37,-23.83,14.69,TU,Food,2326.060000000001
2020-10-05,46.96,81.15,128.11,-34.18,14.13,TU,Food,2291.880000000001
2020-10-06,215.77,95.6,311.37,120.17,18.11,TU,Food,2412.050000000001
2020-10-07,456.99,136.68,593.66,320.31,24.8,TU,Food,2732.360000000001
2020-10-08,310.42,166.34,476.76,144.07,21.13,TU,Food,2876.430000000001
2020-10-09,104.35,158.52,262.86,-54.17,22.34,TU,Food,2822.260000000001
2020-10-12,147.3,59.8,207.1,87.5,22.25,TU,Food,2909.760000000001
2020-10-14,136.91,117.09,254.0,19.82,27.86,TU,Food,2929.5800000000013
2020-10-15,210.54,127.41,337.95,83.13,28.58,TU,Food,3012.7100000000014
2020-10-16,275.78,67.85,343.63,207.94,33.01,TU,Food,3220.6500000000015
2020-10-19,165.93,87.29,253.22,78.64,26.99,TU,Food,3299.2900000000013
2020-10-20,149.55,126.08,275.63,23.47,33.83,TU,Food,3322.760000000001
2020-10-21,123.84,65.95,189.79,57.88,31.08,TU,Food,3380.6400000000012
2020-10-22,488.24,351.13,839.37,137.11,39.19,TU,Food,3517.7500000000014
2020-10-26,34.42,49.14,83.57,-14.72,20.3,TU,Food,3503.0300000000016
2020-10-27,165.78,92.32,258.1,73.45,34.03,TU,Food,3576.4800000000014
2020-10-28,44.58,73.04,117.61,-28.46,23.58,TU,Food,3548.0200000000013
2020-10-29,128.73,81.47,210.19,47.26,25.74,TU,Food,3595.2800000000016
2020-10-30,114.1,113.02,227.11,1.08,37.0,TU,Food,3596.3600000000015
2020-11-02,69.79,48.54,118.33,21.25,24.15,TU,Food,3617.6100000000015
2020-11-03,148.47,141.69,290.16,6.78,23.95,TU,Food,3624.3900000000017
2020-11-04,254.12,285.49,539.61,-31.37,33.8,TU,Food,3593.020000000002
2020-11-05,275.5,203.65,479.15,71.86,24.76,TU,Food,3664.880000000002
2020-11-06,537.62,167.99,705.61,369.62,22.94,TU,Food,4034.500000000002
2020-11-09,240.99,95.26,336.25,145.73,28.87,TU,Food,4180.230000000001
2020-11-10,286.37,208.99,495.36,77.39,28.52,TU,Food,4257.620000000002
2020-11-11,276.21,199.1,475.31,77.11,29.2,TU,Food,4334.730000000001
2020-11-12,183.19,116.83,300.01,66.36,34.12,TU,Food,4401.090000000001
2020-11-13,54.14,112.67,166.81,-58.52,27.92,TU,Food,4342.570000000001
2020-11-16,98.63,48.01,146.63,50.62,24.81,TU,Food,4393.1900000000005
2020-11-17,202.74,231.28,434.02,-28.54,33.63,TU,Food,4364.650000000001
2020-11-18,241.98,178.13,420.11,63.85,32.51,TU,Food,4428.500000000001
2020-11-19,94.03,176.74,270.76,-82.71,39.68,TU,Food,4345.790000000001
2020-11-20,197.55,239.12,436.67,-41.58,34.94,TU,Food,4304.210000000001
2020-11-23,122.48,105.92,228.41,16.56,26.16,TU,Food,4320.770000000001
2020-11-24,125.18,97.58,222.76,27.6,32.9,TU,Food,4348.370000000002
2020-11-25,207.33,177.58,384.91,29.75,38.1,TU,Food,4378.120000000002
2020-11-26,187.67,168.21,355.89,19.46,26.35,TU,Food,4397.580000000002
2020-11-27,117.56,163.1,280.66,-45.54,36.75,TU,Food,4352.040000000002
2020-11-30,184.45,223.73,408.18,-39.28,39.34,TU,Food,4312.760000000002
2020-12-01,112.1,91.99,204.1,20.11,23.94,TU,Food,4332.870000000002
2020-12-02,43.06,111.47,154.53,-68.41,25.02,TU,Food,4264.460000000002
2020-12-03,67.7,85.62,153.32,-17.92,24.97,TU,Food,4246.540000000002
2020-12-04,67.08,71.39,138.47,-4.3,20.18,TU,Food,4242.240000000002
2020-12-08,111.85,270.92,382.77,-159.07,36.88,TU,Food,4083.1700000000014
2020-12-09,114.69,260.0,374.69,-145.32,29.41,TU,Food,3937.8500000000013
2020-12-14,129.27,95.77,225.04,33.5,22.34,TU,Food,3971.3500000000013
2020-12-15,77.99,68.27,146.26,9.72,22.42,TU,Food,3981.070000000001
2020-12-16,76.54,103.21,179.75,-26.67,28.19,TU,Food,3954.400000000001
2020-12-17,98.72,74.28,173.0,24.44,26.74,TU,Food,3978.840000000001
2020-12-18,229.59,139.29,368.89,90.3,32.7,TU,Food,4069.1400000000012
2020-12-21,197.01,248.72,445.73,-51.71,20.81,TU,Food,4017.430000000001
2020-12-22,147.27,97.06,244.33,50.22,19.98,TU,Food,4067.650000000001
2020-12-23,89.81,96.17,185.99,-6.36,26.16,TU,Food,4061.290000000001
2020-12-24,30.9,44.68,75.58,-13.78,17.76,TU,Food,4047.5100000000007
2020-12-25,57.5,37.76,95.26,19.75,14.17,TU,Food,4067.2600000000007
2020-12-28,40.55,55.21,95.77,-14.66,15.13,TU,Food,4052.600000000001
2020-12-29,57.75,60.27,118.02,-2.53,28.73,TU,Food,4050.0700000000006
2020-12-30,53.08,32.99,86.06,20.09,26.42,TU,Food,4070.1600000000008
2021-01-04,81.01,67.31,148.32,13.7,27.54,TU,Food,4083.8600000000006
2021-01-05,94.01,131.37,225.38,-37.37,17.25,TU,Food,4046.4900000000007
2021-01-06,149.6,132.86,282.46,16.74,25.58,TU,Food,4063.2300000000005
2021-01-07,88.76,47.14,135.91,41.62,24.59,TU,Food,4104.85
2021-01-08,136.57,202.02,338.59,-65.45,26.88,TU,Food,4039.4000000000005
2021-01-11,88.36,121.27,209.64,-32.91,33.34,TU,Food,4006.4900000000007
2021-01-12,117.61,109.92,227.53,7.7,21.27,TU,Food,4014.1900000000005
2021-01-13,116.53,104.88,221.41,11.65,30.32,TU,Food,4025.8400000000006
2021-01-14,147.84,92.39,240.22,55.45,27.23,TU,Food,4081.2900000000004
2021-01-15,73.76,168.69,242.45,-94.92,23.16,TU,Food,3986.3700000000003
2021-01-18,68.13,79.93,148.06,-11.8,28.49,TU,Food,3974.57
2021-01-19,62.98,126.45,189.43,-63.47,29.18,TU,Food,3911.1000000000004
2021-01-20,126.92,79.95,206.87,46.97,42.82,TU,Food,3958.07
2021-01-21,124.93,110.3,235.23,14.63,34.89,TU,Food,3972.7000000000003
2021-01-22,64.26,162.4,226.67,-98.14,30.72,TU,Food,3874.5600000000004
2021-01-25,73.68,81.74,155.42,-8.06,26.16,TU,Food,3866.5000000000005
2021-01-26,72.62,226.44,299.07,-153.82,29.44,TU,Food,3712.6800000000003
2021-01-27,81.45,68.87,150.32,12.58,36.82,TU,Food,3725.26
2021-01-28,115.8,155.58,271.37,-39.78,27.03,TU,Food,3685.48
2021-01-29,117.23,94.65,211.89,22.58,25.1,TU,Food,3708.06
2021-02-01,104.72,74.39,179.11,30.33,28.7,TU,Food,3738.39
2021-02-02,88.54,66.6,155.13,21.94,35.13,TU,Food,3760.33
2021-02-03,54.21,118.21,172.41,-64.0,44.41,TU,Food,3696.33
2021-02-04,51.68,132.19,183.87,-80.52,39.96,TU,Food,3615.81
2021-02-05,60.99,58.0,119.0,2.99,43.84,TU,Food,3618.7999999999997
2021-02-08,59.69,134.92,194.62,-75.23,25.88,TU,Food,3543.5699999999997
2021-02-09,94.7,128.27,222.97,-33.56,27.12,TU,Food,3510.0099999999998
2021-02-10,26.76,53.17,79.93,-26.41,23.58,TU,Food,3483.6
2021-02-11,35.72,65.02,100.75,-29.3,35.2,TU,Food,3454.2999999999997
2021-02-15,9.7,26.55,36.25,-16.85,15.98,TU,Food,3437.45
2021-02-16,21.77,46.41,68.18,-24.64,21.7,TU,Food,3412.81
2021-02-17,33.73,43.8,77.53,-10.08,33.21,TU,Food,3402.73
2021-02-18,68.62,226.27,294.89,-157.66,36.56,TU,Food,3245.07
2021-02-19,83.37,188.93,272.3,-105.56,34.98,TU,Food,3139.51
2021-02-22,74.46,105.86,180.32,-31.4,19.4,TU,Food,3108.11
2021-02-23,91.89,152.8,244.68,-60.91,26.27,TU,Food,3047.2000000000003
2021-02-24,163.14,46.77,209.91,116.37,30.2,TU,Food,3163.57
2021-02-25,157.78,83.01,240.79,74.77,24.57,TU,Food,3238.34
2021-03-01,194.08,139.58,333.66,54.5,26.16,TU,Food,3292.84
2021-03-02,136.3,120.92,257.22,15.38,29.45,TU,Food,3308.2200000000003
2021-03-03,89.87,90.29,180.15,-0.42,23.96,TU,Food,3307.8
2021-03-04,97.86,46.16,144.02,51.7,21.69,TU,Food,3359.5
2021-03-05,149.44,133.95,283.39,15.49,32.05,TU,Food,3374.99
2021-03-08,131.66,69.19,200.85,62.47,17.06,TU,Food,3437.4599999999996
2021-03-09,86.74,137.86,224.6,-51.12,25.27,TU,Food,3386.3399999999997
2021-03-10,199.24,157.67,356.91,41.57,17.78,TU,Food,3427.91
2021-03-11,112.99,128.04,241.03,-15.04,23.17,TU,Food,3412.87
2021-03-12,90.19,97.92,188.1,-7.73,27.34,TU,Food,3405.14
2021-03-15,42.94,50.55,93.48,-7.61,26.69,TU,Food,3397.5299999999997
2021-03-16,47.07,68.16,115.23,-21.09,22.21,TU,Food,3376.4399999999996
2021-03-17,84.99,56.35,141.34,28.64,17.94,TU,Food,3405.0799999999995
2021-03-18,34.0,77.04,111.04,-43.04,26.5,TU,Food,3362.0399999999995
2021-03-19,97.77,53.43,151.2,44.34,21.58,TU,Food,3406.3799999999997
2021-03-22,98.6,41.06,139.66,57.54,28.9,TU,Food,3463.9199999999996
2021-03-23,85.81,123.34,209.15,-37.53,25.11,TU,Food,3426.3899999999994
2021-03-24,220.62,95.08,315.7,125.54,32.28,TU,Food,3551.9299999999994
2021-03-25,28.0,71.26,99.27,-43.26,16.37,TU,Food,3508.669999999999
2021-03-26,8.52,39.1,47.62,-30.58,19.86,TU,Food,3478.0899999999992
2021-03-29,14.71,23.35,38.06,-8.64,16.38,TU,Food,3469.4499999999994
2021-03-30,41.81,18.76,60.58,23.05,20.7,TU,Food,3492.4999999999995
2021-03-31,123.33,41.4,164.73,81.93,28.86,TU,Food,3574.4299999999994
2021-04-01,74.89,41.26,116.14,33.63,26.17,TU,Food,3608.0599999999995
2021-04-02,35.43,25.62,61.05,9.81,15.7,TU,Food,3617.8699999999994
2021-04-05,52.77,29.13,81.9,23.64,21.53,TU,Food,3641.5099999999993
2021-04-07,96.6,67.44,164.04,29.16,34.24,TU,Food,3670.669999999999
2021-04-08,61.64,32.77,94.41,28.87,19.43,TU,Food,3699.539999999999
2021-04-09,90.27,60.14,150.41,30.12,28.98,TU,Food,3729.659999999999
2021-04-12,105.41,70.19,175.6,35.22,32.57,TU,Food,3764.8799999999987
2021-04-16,173.97,46.86,220.82,127.11,37.44,TU,Food,3891.989999999999
2021-04-19,62.44,66.0,128.44,-3.57,20.22,TU,Food,3888.4199999999987
2021-04-20,99.32,75.82,175.13,23.5,30.49,TU,Food,3911.9199999999987
2021-04-21,200.03,141.0,341.03,59.03,22.18,TU,Food,3970.949999999999
2021-04-22,51.65,136.76,188.4,-85.11,19.71,TU,Food,3885.839999999999
2021-04-23,64.67,112.93,177.61,-48.26,21.77,TU,Food,3837.5799999999986
2021-04-26,57.7,52.96,110.65,4.74,25.5,TU,Food,3842.3199999999983
2021-04-27,42.95,48.82,91.77,-5.87,25.8,TU,Food,3836.4499999999985
2021-04-28,68.22,99.33,167.56,-31.11,20.15,TU,Food,3805.3399999999983
2021-04-29,39.03,70.39,109.42,-31.36,24.27,TU,Food,3773.979999999998
2021-04-30,63.99,34.65,98.63,29.34,26.01,TU,Food,3803.3199999999983
2021-05-05,192.68,147.01,339.7,45.67,35.59,TU,Food,3848.9899999999984
2021-05-06,63.32,67.42,130.74,-4.1,26.4,TU,Food,3844.8899999999985
2021-05-07,52.17,40.51,92.68,11.66,25.85,TU,Food,3856.5499999999984
2021-05-10,418.89,396.27,815.16,22.62,19.68,TU,Food,3879.1699999999983
2021-05-11,613.9,407.4,1021.3,206.5,24.25,TU,Food,4085.6699999999983
2021-05-12,297.22,339.6,636.82,-42.38,23.33,TU,Food,4043.289999999998
2021-05-13,425.49,238.88,664.38,186.61,26.28,TU,Food,4229.899999999998
2021-05-14,247.61,377.55,625.16,-129.94,26.91,TU,Food,4099.959999999998
2021-05-17,312.22,236.3,548.52,75.93,24.23,TU,Food,4175.8899999999985
2021-05-18,318.7,214.57,533.27,104.13,27.27,TU,Food,4280.019999999999
2021-05-19,431.15,185.28,616.43,245.86,34.4,TU,Food,4525.879999999998
2021-05-20,274.59,157.36,431.95,117.23,30.37,TU,Food,4643.109999999998
2021-05-21,279.4,140.46,419.86,138.95,26.85,TU,Food,4782.059999999998
2021-05-24,124.78,124.3,249.09,0.48,31.41,TU,Food,4782.539999999997
2021-05-25,73.23,111.62,184.84,-38.39,29.46,TU,Food,4744.149999999997
2021-05-27,453.36,437.46,890.81,15.9,56.53,TU,Food,4760.0499999999965
