date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,192.14,309.91,502.05,-117.76,28.6,TOP,Energy,-117.76
2020-01-03,294.52,255.96,550.48,38.56,37.46,TOP,Energy,-79.2
2020-01-06,331.04,191.14,522.18,139.9,22.33,TOP,Energy,60.7
2020-01-07,212.66,126.97,339.63,85.69,24.46,TOP,Energy,146.39
2020-01-08,287.47,267.14,554.61,20.34,23.02,TOP,Energy,166.73
2020-01-09,245.52,151.25,396.77,94.27,16.97,TOP,Energy,261.0
2020-01-10,166.61,115.43,282.04,51.18,27.17,TOP,Energy,312.18
2020-01-13,411.35,269.32,680.67,142.03,19.18,TOP,Energy,454.21000000000004
2020-01-14,584.75,314.43,899.18,270.32,20.22,TOP,Energy,724.53
2020-01-15,289.58,274.08,563.66,15.49,30.16,TOP,Energy,740.02
2020-01-16,272.15,275.42,547.57,-3.27,29.25,TOP,Energy,736.75
2020-01-17,267.67,123.31,390.99,144.36,20.41,TOP,Energy,881.11
2020-01-20,129.61,115.73,245.34,13.88,22.08,TOP,Energy,894.99
2020-01-21,177.99,98.1,276.08,79.89,24.79,TOP,Energy,974.88
2020-01-22,675.92,412.5,1088.42,263.42,30.34,TOP,Energy,1238.3
2020-01-23,615.0,664.43,1279.44,-49.43,30.58,TOP,Energy,1188.87
2020-01-24,246.04,175.53,421.57,70.51,21.14,TOP,Energy,1259.3799999999999
2020-01-27,340.76,306.35,647.11,34.41,21.32,TOP,Energy,1293.79
2020-01-28,353.82,419.26,773.09,-65.44,23.35,TOP,Energy,1228.35
2020-01-29,168.51,388.44,556.95,-219.92,23.6,TOP,Energy,1008.43
2020-01-30,275.4,274.62,550.02,0.77,37.33,TOP,Energy,1009.1999999999999
2020-01-31,160.99,161.67,322.66,-0.68,25.93,TOP,Energy,1008.52
2020-02-03,145.62,144.96,290.58,0.66,33.96,TOP,Energy,1009.18
2020-02-04,170.36,499.87,670.23,-329.51,25.4,TOP,Energy,679.67
2020-02-05,80.19,487.61,567.8,-407.42,22.61,TOP,Energy,272.24999999999994
2020-02-06,128.49,287.14,415.63,-158.65,21.59,TOP,Energy,113.59999999999994
2020-02-07,158.45,202.34,360.79,-43.89,25.18,TOP,Energy,69.70999999999994
2020-02-11,394.21,576.05,970.26,-181.84,42.9,TOP,Energy,-112.13000000000007
2020-02-12,266.6,174.75,441.36,91.85,29.66,TOP,Energy,-20.280000000000072
2020-02-13,116.41,91.36,207.77,25.04,20.81,TOP,Energy,4.759999999999927
2020-02-14,68.69,108.96,177.66,-40.27,27.05,TOP,Energy,-35.510000000000076
2020-02-17,156.04,172.44,328.48,-16.39,45.85,TOP,Energy,-51.90000000000008
2020-02-18,166.09,203.89,369.98,-37.81,29.59,TOP,Energy,-89.71000000000008
2020-02-19,226.46,57.47,283.93,168.98,30.31,TOP,Energy,79.26999999999991
2020-02-20,186.41,121.04,307.45,65.37,20.94,TOP,Energy,144.63999999999993
2020-02-21,138.82,107.73,246.55,31.08,29.68,TOP,Energy,175.7199999999999
2020-02-24,348.78,441.87,790.65,-93.09,23.86,TOP,Energy,82.62999999999991
2020-02-25,407.72,297.49,705.21,110.23,29.83,TOP,Energy,192.8599999999999
2020-02-26,201.4,189.75,391.16,11.65,28.28,TOP,Energy,204.5099999999999
2020-02-27,263.9,157.05,420.96,106.85,23.18,TOP,Energy,311.3599999999999
2020-02-28,220.04,176.85,396.89,43.19,28.04,TOP,Energy,354.5499999999999
2020-03-02,236.25,174.3,410.55,61.95,25.69,TOP,Energy,416.4999999999999
2020-03-03,499.8,251.2,751.0,248.59,35.55,TOP,Energy,665.0899999999999
2020-03-04,115.41,151.76,267.17,-36.35,20.93,TOP,Energy,628.7399999999999
2020-03-05,124.82,194.26,319.08,-69.44,19.13,TOP,Energy,559.3
2020-03-06,189.84,257.51,447.36,-67.67,19.52,TOP,Energy,491.62999999999994
2020-03-09,543.19,445.07,988.26,98.11,21.48,TOP,Energy,589.7399999999999
2020-03-10,380.06,288.87,668.93,91.19,27.13,TOP,Energy,680.9299999999998
2020-03-11,310.99,266.01,577.0,44.99,22.66,TOP,Energy,725.9199999999998
2020-03-12,240.22,289.96,530.18,-49.74,24.9,TOP,Energy,676.1799999999998
2020-03-13,247.98,433.54,681.51,-185.56,27.37,TOP,Energy,490.61999999999983
2020-03-16,191.39,203.7,395.08,-12.31,31.84,TOP,Energy,478.30999999999983
2020-03-17,302.11,420.65,722.77,-118.54,33.22,TOP,Energy,359.7699999999998
2020-03-18,154.46,240.61,395.08,-86.15,29.2,TOP,Energy,273.6199999999998
2020-03-19,99.06,255.24,354.3,-156.17,20.41,TOP,Energy,117.44999999999979
2020-03-20,343.44,305.29,648.74,38.15,21.99,TOP,Energy,155.5999999999998
2020-03-23,95.29,239.81,335.1,-144.52,26.13,TOP,Energy,11.079999999999785
2020-03-24,241.97,218.87,460.84,23.1,29.2,TOP,Energy,34.17999999999979
2020-03-25,186.74,303.3,490.03,-116.56,22.23,TOP,Energy,-82.38000000000022
2020-03-26,170.96,128.28,299.24,42.68,18.43,TOP,Energy,-39.70000000000022
2020-03-27,132.27,110.74,243.01,21.53,20.59,TOP,Energy,-18.170000000000222
2020-03-30,103.19,35.45,138.64,67.74,17.02,TOP,Energy,49.56999999999977
2020-03-31,149.65,122.4,272.05,27.25,16.13,TOP,Energy,76.81999999999977
2020-04-01,180.04,147.92,327.96,32.12,14.14,TOP,Energy,108.93999999999977
2020-04-02,230.68,299.13,529.81,-68.44,16.02,TOP,Energy,40.49999999999977
2020-04-03,195.38,470.82,666.2,-275.44,18.79,TOP,Energy,-234.94000000000023
2020-04-07,172.63,384.7,557.33,-212.06,27.15,TOP,Energy,-447.0000000000002
2020-04-08,168.7,221.0,389.71,-52.3,24.92,TOP,Energy,-499.30000000000024
2020-04-09,218.67,180.6,399.27,38.07,16.39,TOP,Energy,-461.23000000000025
2020-04-10,346.84,288.2,635.04,58.64,22.13,TOP,Energy,-402.59000000000026
2020-04-13,147.26,96.23,243.48,51.03,16.27,TOP,Energy,-351.5600000000003
2020-04-14,345.19,491.14,836.33,-145.95,20.15,TOP,Energy,-497.5100000000003
2020-04-15,223.19,408.01,631.2,-184.81,20.11,TOP,Energy,-682.3200000000003
2020-04-16,85.06,216.34,301.4,-131.28,22.16,TOP,Energy,-813.6000000000003
2020-04-17,41.56,155.04,196.6,-113.48,19.38,TOP,Energy,-927.0800000000003
2020-04-20,56.31,130.86,187.17,-74.55,17.36,TOP,Energy,-1001.6300000000002
2020-04-21,141.22,261.72,402.94,-120.5,16.5,TOP,Energy,-1122.13
2020-04-22,130.36,185.77,316.13,-55.41,19.06,TOP,Energy,-1177.5400000000002
2020-04-23,122.9,181.7,304.6,-58.81,12.32,TOP,Energy,-1236.3500000000001
2020-04-24,88.12,165.31,253.43,-77.19,16.16,TOP,Energy,-1313.5400000000002
2020-04-27,127.77,75.0,202.77,52.78,16.37,TOP,Energy,-1260.7600000000002
2020-04-28,136.53,92.44,228.97,44.1,21.14,TOP,Energy,-1216.6600000000003
2020-04-29,115.2,82.42,197.63,32.78,25.64,TOP,Energy,-1183.8800000000003
2020-04-30,371.12,267.14,638.26,103.99,28.63,TOP,Energy,-1079.8900000000003
2020-05-05,179.11,156.28,335.39,22.84,27.26,TOP,Energy,-1057.0500000000004
2020-05-07,254.92,133.97,388.89,120.95,29.21,TOP,Energy,-936.1000000000004
2020-05-08,85.15,117.97,203.11,-32.82,16.04,TOP,Energy,-968.9200000000004
2020-05-11,129.77,329.71,459.49,-199.94,22.28,TOP,Energy,-1168.8600000000004
2020-05-12,110.12,145.75,255.88,-35.63,21.12,TOP,Energy,-1204.4900000000005
2020-05-13,64.75,201.89,266.64,-137.15,15.56,TOP,Energy,-1341.6400000000006
2020-05-14,52.47,58.32,110.79,-5.85,13.19,TOP,Energy,-1347.4900000000005
2020-05-15,86.69,106.77,193.46,-20.07,14.15,TOP,Energy,-1367.5600000000004
2020-05-18,86.07,111.8,197.87,-25.73,11.96,TOP,Energy,-1393.2900000000004
2020-05-19,210.24,105.55,315.79,104.69,13.6,TOP,Energy,-1288.6000000000004
2020-05-20,49.97,50.54,100.51,-0.57,13.92,TOP,Energy,-1289.1700000000003
2020-05-21,104.32,137.97,242.29,-33.65,17.12,TOP,Energy,-1322.8200000000004
2020-05-22,71.53,245.86,317.39,-174.32,13.53,TOP,Energy,-1497.1400000000003
2020-05-25,137.96,68.17,206.13,69.79,15.78,TOP,Energy,-1427.3500000000004
2020-05-26,104.68,91.65,196.33,13.04,17.44,TOP,Energy,-1414.3100000000004
2020-05-27,103.59,68.09,171.69,35.5,21.03,TOP,Energy,-1378.8100000000004
2020-05-28,140.95,174.47,315.42,-33.52,16.79,TOP,Energy,-1412.3300000000004
2020-05-29,231.29,275.98,507.28,-44.69,38.74,TOP,Energy,-1457.0200000000004
2020-06-01,242.49,219.56,462.05,22.94,23.32,TOP,Energy,-1434.0800000000004
2020-06-02,165.56,94.82,260.39,70.74,10.15,TOP,Energy,-1363.3400000000004
2020-06-04,167.83,158.8,326.63,9.03,12.21,TOP,Energy,-1354.3100000000004
2020-06-05,359.48,252.07,611.55,107.41,12.71,TOP,Energy,-1246.9000000000003
2020-06-08,615.99,496.41,1112.41,119.58,18.87,TOP,Energy,-1127.3200000000004
2020-06-09,437.8,348.92,786.72,88.89,23.95,TOP,Energy,-1038.4300000000003
2020-06-10,132.6,174.12,306.72,-41.51,20.24,TOP,Energy,-1079.9400000000003
2020-06-11,219.99,200.06,420.05,19.93,22.55,TOP,Energy,-1060.0100000000002
2020-06-12,152.68,189.51,342.2,-36.83,11.38,TOP,Energy,-1096.8400000000001
2020-06-15,351.96,206.28,558.23,145.68,21.59,TOP,Energy,-951.1600000000001
2020-06-16,473.31,270.68,743.98,202.63,26.7,TOP,Energy,-748.5300000000001
2020-06-17,135.92,149.44,285.36,-13.52,16.83,TOP,Energy,-762.0500000000001
2020-06-18,185.56,87.25,272.81,98.31,18.21,TOP,Energy,-663.74
2020-06-19,204.28,298.3,502.58,-94.02,26.65,TOP,Energy,-757.76
2020-06-22,76.24,96.67,172.92,-20.43,14.49,TOP,Energy,-778.1899999999999
2020-06-23,48.19,74.42,122.61,-26.23,16.45,TOP,Energy,-804.42
2020-06-24,114.88,87.07,201.95,27.8,17.32,TOP,Energy,-776.62
2020-06-25,220.56,87.07,307.63,133.49,22.17,TOP,Energy,-643.13
2020-06-26,26.92,56.02,82.94,-29.1,14.83,TOP,Energy,-672.23
2020-06-29,118.93,88.33,207.27,30.6,23.86,TOP,Energy,-641.63
2020-06-30,285.04,270.58,555.61,14.46,26.22,TOP,Energy,-627.17
2020-07-01,123.71,178.82,302.54,-55.11,17.65,TOP,Energy,-682.28
2020-07-02,49.42,151.95,201.37,-102.53,12.54,TOP,Energy,-784.81
2020-07-03,93.93,76.09,170.01,17.84,12.68,TOP,Energy,-766.9699999999999
2020-07-07,144.87,146.02,290.89,-1.15,17.97,TOP,Energy,-768.1199999999999
2020-07-08,105.98,345.28,451.25,-239.3,20.36,TOP,Energy,-1007.4199999999998
2020-07-09,197.81,256.53,454.34,-58.71,20.59,TOP,Energy,-1066.1299999999999
2020-07-10,202.94,74.13,277.06,128.81,16.23,TOP,Energy,-937.3199999999999
2020-07-13,148.84,157.99,306.84,-9.15,19.15,TOP,Energy,-946.4699999999999
2020-07-14,226.68,92.39,319.06,134.29,22.74,TOP,Energy,-812.18
2020-07-15,134.17,165.7,299.86,-31.53,17.54,TOP,Energy,-843.7099999999999
2020-07-16,126.03,82.12,208.14,43.91,18.11,TOP,Energy,-799.8
2020-07-17,108.8,88.41,197.21,20.39,23.76,TOP,Energy,-779.41
2020-07-20,75.14,103.27,178.41,-28.12,22.04,TOP,Energy,-807.53
