date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,1.81,23.62,25.43,-21.81,17.5,PLANB,Media,-21.81
2020-01-03,10.65,21.0,31.65,-10.34,12.82,PLANB,Media,-32.15
2020-01-06,9.55,17.17,26.71,-7.62,16.75,PLANB,Media,-39.769999999999996
2020-01-07,38.95,30.02,68.96,8.93,20.4,PLANB,Media,-30.839999999999996
2020-01-08,24.52,11.75,36.28,12.77,24.96,PLANB,Media,-18.069999999999997
2020-01-09,14.2,37.54,51.73,-23.34,22.84,PLANB,Media,-41.41
2020-01-10,3.58,13.94,17.52,-10.35,23.41,PLANB,Media,-51.76
2020-01-13,15.16,48.84,64.0,-33.68,19.31,PLANB,Media,-85.44
2020-01-14,22.7,56.53,79.23,-33.83,23.06,PLANB,Media,-119.27
2020-01-15,44.98,76.19,121.17,-31.2,18.15,PLANB,Media,-150.47
2020-01-16,32.99,29.84,62.82,3.15,21.75,PLANB,Media,-147.32
2020-01-17,14.34,23.79,38.13,-9.44,16.17,PLANB,Media,-156.76
2020-01-20,7.02,6.44,13.46,0.57,24.83,PLANB,Media,-156.19
2020-01-21,29.08,6.26,35.33,22.82,14.24,PLANB,Media,-133.37
2020-01-22,20.97,9.08,30.05,11.89,13.88,PLANB,Media,-121.48
2020-01-23,14.96,6.2,21.16,8.75,16.04,PLANB,Media,-112.73
2020-01-24,7.5,1.61,9.11,5.89,16.5,PLANB,Media,-106.84
2020-01-27,10.49,15.31,25.8,-4.82,14.18,PLANB,Media,-111.66
2020-01-28,16.55,6.46,23.01,10.08,15.53,PLANB,Media,-101.58
2020-01-29,40.16,16.15,56.3,24.01,10.02,PLANB,Media,-77.57
2020-01-30,120.13,52.31,172.45,67.82,8.8,PLANB,Media,-9.75
2020-01-31,53.63,57.84,111.48,-4.21,10.54,PLANB,Media,-13.96
2020-02-03,9.01,9.57,18.58,-0.55,6.76,PLANB,Media,-14.510000000000002
2020-02-04,22.57,23.01,45.58,-0.44,13.38,PLANB,Media,-14.950000000000001
2020-02-05,29.2,36.65,65.85,-7.46,19.97,PLANB,Media,-22.41
2020-02-06,14.0,33.92,47.92,-19.93,15.88,PLANB,Media,-42.34
2020-02-07,57.02,46.23,103.26,10.79,13.23,PLANB,Media,-31.550000000000004
2020-02-11,34.26,153.79,188.05,-119.53,21.13,PLANB,Media,-151.08
2020-02-12,27.9,123.02,150.92,-95.12,15.34,PLANB,Media,-246.20000000000002
2020-02-13,78.15,82.12,160.27,-3.98,29.39,PLANB,Media,-250.18
2020-02-14,62.62,32.3,94.91,30.32,33.94,PLANB,Media,-219.86
2020-02-17,66.64,9.95,76.59,56.7,40.45,PLANB,Media,-163.16000000000003
2020-02-18,92.19,28.31,120.5,63.88,28.18,PLANB,Media,-99.28000000000003
2020-02-19,114.63,16.87,131.5,97.76,25.46,PLANB,Media,-1.5200000000000244
2020-02-20,73.67,7.05,80.72,66.61,20.47,PLANB,Media,65.08999999999997
2020-02-21,33.86,15.15,49.01,18.71,14.56,PLANB,Media,83.79999999999998
2020-02-24,37.42,12.5,49.93,24.92,23.71,PLANB,Media,108.71999999999998
2020-02-25,60.85,23.82,84.67,37.04,25.01,PLANB,Media,145.76
2020-02-26,52.59,15.63,68.22,36.97,23.55,PLANB,Media,182.73
2020-02-27,35.97,19.36,55.33,16.61,21.08,PLANB,Media,199.33999999999997
2020-02-28,15.11,22.59,37.7,-7.48,17.67,PLANB,Media,191.85999999999999
2020-03-02,16.88,54.17,71.04,-37.29,24.91,PLANB,Media,154.57
2020-03-03,35.92,51.6,87.52,-15.69,19.15,PLANB,Media,138.88
2020-03-04,58.98,64.76,123.74,-5.77,25.64,PLANB,Media,133.10999999999999
2020-03-05,110.75,73.87,184.62,36.88,27.86,PLANB,Media,169.98999999999998
2020-03-06,28.92,47.1,76.02,-18.17,22.89,PLANB,Media,151.82
2020-03-09,68.69,24.72,93.41,43.97,19.39,PLANB,Media,195.79
2020-03-10,17.36,22.32,39.69,-4.96,22.31,PLANB,Media,190.82999999999998
2020-03-11,23.18,23.63,46.81,-0.45,23.71,PLANB,Media,190.38
2020-03-12,61.98,34.6,96.58,27.37,20.82,PLANB,Media,217.75
2020-03-13,20.24,31.82,52.06,-11.58,18.85,PLANB,Media,206.17
2020-03-16,22.98,10.73,33.71,12.25,26.28,PLANB,Media,218.42
2020-03-17,31.51,24.07,55.58,7.44,25.02,PLANB,Media,225.85999999999999
2020-03-18,42.21,19.22,61.43,23.0,30.3,PLANB,Media,248.85999999999999
2020-03-19,13.38,19.07,32.45,-5.69,24.32,PLANB,Media,243.17
2020-03-20,27.5,42.35,69.85,-14.85,15.17,PLANB,Media,228.32
2020-03-23,8.18,15.08,23.26,-6.9,13.24,PLANB,Media,221.42
2020-03-24,22.51,24.59,47.1,-2.09,22.43,PLANB,Media,219.32999999999998
2020-03-25,35.65,56.88,92.53,-21.23,28.21,PLANB,Media,198.1
2020-03-26,34.93,42.94,77.86,-8.01,31.9,PLANB,Media,190.09
2020-03-27,23.74,56.25,79.99,-32.51,19.76,PLANB,Media,157.58
2020-03-30,14.19,38.09,52.28,-23.9,25.53,PLANB,Media,133.68
2020-03-31,31.75,42.23,73.97,-10.48,17.79,PLANB,Media,123.2
2020-04-01,12.33,35.19,47.52,-22.86,18.51,PLANB,Media,100.34
2020-04-02,23.06,11.53,34.59,11.53,24.13,PLANB,Media,111.87
2020-04-03,5.84,12.66,18.5,-6.82,16.74,PLANB,Media,105.05000000000001
2020-04-07,32.95,9.9,42.84,23.05,13.22,PLANB,Media,128.10000000000002
2020-04-08,25.26,60.74,86.0,-35.48,21.9,PLANB,Media,92.62000000000003
2020-04-09,22.53,58.67,81.19,-36.14,15.55,PLANB,Media,56.48000000000003
2020-04-10,19.37,19.64,39.0,-0.27,20.59,PLANB,Media,56.21000000000003
2020-04-13,21.75,25.93,47.68,-4.19,11.75,PLANB,Media,52.02000000000003
2020-04-14,36.32,53.73,90.05,-17.41,15.05,PLANB,Media,34.61000000000003
2020-04-15,15.83,19.32,35.15,-3.5,10.75,PLANB,Media,31.110000000000028
2020-04-16,26.11,21.75,47.86,4.36,13.74,PLANB,Media,35.47000000000003
2020-04-17,10.86,16.51,27.37,-5.65,10.87,PLANB,Media,29.82000000000003
2020-04-20,35.96,34.79,70.75,1.17,11.44,PLANB,Media,30.99000000000003
2020-04-21,18.25,27.25,45.49,-9.0,14.11,PLANB,Media,21.99000000000003
2020-04-22,16.4,28.51,44.91,-12.11,10.46,PLANB,Media,9.880000000000031
2020-04-23,80.3,57.11,137.4,23.19,12.88,PLANB,Media,33.070000000000036
2020-04-24,39.33,73.69,113.01,-34.36,12.19,PLANB,Media,-1.2899999999999636
2020-04-27,14.85,32.68,47.53,-17.83,17.9,PLANB,Media,-19.119999999999962
2020-04-28,25.82,28.35,54.17,-2.54,12.98,PLANB,Media,-21.65999999999996
2020-04-29,61.03,21.19,82.22,39.84,15.82,PLANB,Media,18.180000000000042
2020-04-30,78.05,73.38,151.43,4.67,15.85,PLANB,Media,22.850000000000044
2020-05-05,34.31,44.77,79.08,-10.46,14.4,PLANB,Media,12.390000000000043
2020-05-07,37.47,56.64,94.11,-19.17,13.35,PLANB,Media,-6.7799999999999585
2020-05-08,101.16,94.86,196.02,6.29,19.56,PLANB,Media,-0.48999999999995847
2020-05-11,40.7,91.3,132.0,-50.6,14.02,PLANB,Media,-51.08999999999996
2020-05-12,20.45,34.77,55.23,-14.32,11.67,PLANB,Media,-65.40999999999997
2020-05-13,14.49,30.06,44.55,-15.57,12.96,PLANB,Media,-80.97999999999996
2020-05-14,49.74,35.81,85.56,13.93,15.59,PLANB,Media,-67.04999999999995
2020-05-15,4.39,12.44,16.83,-8.04,11.94,PLANB,Media,-75.08999999999995
2020-05-18,8.9,19.96,28.86,-11.06,21.47,PLANB,Media,-86.14999999999995
2020-05-19,39.41,51.48,90.89,-12.07,17.38,PLANB,Media,-98.21999999999994
2020-05-20,13.41,5.56,18.97,7.85,16.44,PLANB,Media,-90.36999999999995
2020-05-21,14.65,18.97,33.61,-4.32,16.76,PLANB,Media,-94.68999999999994
2020-05-22,42.48,18.28,60.77,24.2,19.82,PLANB,Media,-70.48999999999994
2020-05-25,11.48,14.59,26.07,-3.12,22.26,PLANB,Media,-73.60999999999994
2020-05-26,61.78,98.4,160.18,-36.62,10.96,PLANB,Media,-110.22999999999993
2020-05-27,19.64,40.93,60.57,-21.29,9.47,PLANB,Media,-131.51999999999992
2020-05-28,11.66,22.32,33.99,-10.66,10.85,PLANB,Media,-142.17999999999992
2020-05-29,21.59,60.41,81.99,-38.82,24.77,PLANB,Media,-180.99999999999991
2020-06-01,37.24,41.69,78.93,-4.45,18.85,PLANB,Media,-185.4499999999999
2020-06-02,24.45,10.32,34.76,14.13,17.07,PLANB,Media,-171.3199999999999
2020-06-04,45.8,12.1,57.9,33.7,26.95,PLANB,Media,-137.6199999999999
2020-06-05,126.44,65.02,191.45,61.42,31.16,PLANB,Media,-76.19999999999989
2020-06-08,58.77,44.29,103.05,14.48,16.01,PLANB,Media,-61.719999999999885
2020-06-09,63.6,99.6,163.2,-36.01,18.99,PLANB,Media,-97.72999999999988
2020-06-10,21.82,34.78,56.6,-12.96,23.43,PLANB,Media,-110.68999999999988
2020-06-11,45.27,52.07,97.35,-6.8,22.53,PLANB,Media,-117.48999999999988
2020-06-12,35.76,39.79,75.54,-4.03,13.98,PLANB,Media,-121.51999999999988
2020-06-15,29.64,37.91,67.55,-8.26,13.84,PLANB,Media,-129.7799999999999
2020-06-16,20.25,30.2,50.45,-9.95,23.5,PLANB,Media,-139.72999999999988
2020-06-17,28.84,28.47,57.3,0.37,17.86,PLANB,Media,-139.35999999999987
2020-06-18,86.28,55.15,141.44,31.13,16.64,PLANB,Media,-108.22999999999988
2020-06-19,8.88,26.53,35.41,-17.65,12.79,PLANB,Media,-125.87999999999988
2020-06-22,20.48,21.46,41.93,-0.98,20.69,PLANB,Media,-126.85999999999989
2020-06-23,42.0,34.02,76.02,7.98,15.12,PLANB,Media,-118.87999999999988
2020-06-24,6.29,29.61,35.9,-23.32,10.51,PLANB,Media,-142.19999999999987
2020-06-25,44.54,18.64,63.17,25.9,15.45,PLANB,Media,-116.29999999999987
2020-06-26,12.02,12.86,24.87,-0.84,15.03,PLANB,Media,-117.13999999999987
2020-06-29,10.82,3.9,14.72,6.92,9.91,PLANB,Media,-110.21999999999987
2020-06-30,14.38,27.38,41.75,-13.0,16.54,PLANB,Media,-123.21999999999987
2020-07-01,40.23,39.65,79.89,0.58,16.42,PLANB,Media,-122.63999999999987
2020-07-02,34.32,34.58,68.89,-0.26,14.38,PLANB,Media,-122.89999999999988
2020-07-03,13.14,21.06,34.2,-7.93,9.15,PLANB,Media,-130.82999999999987
2020-07-07,17.73,6.71,24.44,11.02,10.38,PLANB,Media,-119.80999999999987
2020-07-08,18.16,10.39,28.55,7.77,31.29,PLANB,Media,-112.03999999999988
2020-07-09,94.42,89.82,184.25,4.6,54.22,PLANB,Media,-107.43999999999988
2020-07-10,14.89,10.58,25.48,4.31,14.97,PLANB,Media,-103.12999999999988
2020-07-13,19.49,15.38,34.87,4.11,7.34,PLANB,Media,-99.01999999999988
2020-07-14,42.07,13.25,55.31,28.82,15.17,PLANB,Media,-70.19999999999987
2020-07-15,22.67,5.78,28.46,16.89,13.11,PLANB,Media,-53.309999999999874
2020-07-16,9.61,11.87,21.47,-2.26,15.14,PLANB,Media,-55.56999999999987
2020-07-17,13.69,13.9,27.59,-0.21,22.15,PLANB,Media,-55.77999999999987
2020-07-20,12.13,14.29,26.42,-2.16,13.7,PLANB,Media,-57.93999999999987
2020-07-21,20.49,7.47,27.96,13.03,11.61,PLANB,Media,-44.90999999999987
2020-07-22,6.8,10.52,17.31,-3.72,11.04,PLANB,Media,-48.62999999999987
2020-07-23,18.09,2.62,20.71,15.47,17.16,PLANB,Media,-33.15999999999987
2020-07-24,40.64,11.09,51.72,29.55,26.61,PLANB,Media,-3.609999999999868
2020-07-29,45.28,17.99,63.27,27.28,31.45,PLANB,Media,23.670000000000133
2020-07-30,38.07,22.13,60.2,15.95,37.01,PLANB,Media,39.62000000000013
2020-07-31,18.41,14.26,32.67,4.16,19.32,PLANB,Media,43.78000000000013
2020-08-03,8.45,10.99,19.45,-2.54,21.38,PLANB,Media,41.24000000000013
2020-08-04,20.03,48.49,68.53,-28.46,19.71,PLANB,Media,12.780000000000129
2020-08-05,9.72,17.78,27.5,-8.06,19.7,PLANB,Media,4.7200000000001285
2020-08-06,7.67,9.07,16.74,-1.4,25.72,PLANB,Media,3.3200000000001286
2020-08-07,6.02,9.8,15.82,-3.78,25.28,PLANB,Media,-0.4599999999998712
2020-08-10,2.53,8.81,11.34,-6.28,15.7,PLANB,Media,-6.739999999999871
2020-08-11,54.83,42.61,97.44,12.21,16.1,PLANB,Media,5.470000000000129
2020-08-13,26.41,25.93,52.34,0.48,21.19,PLANB,Media,5.950000000000129
2020-08-14,14.81,11.91,26.73,2.9,14.79,PLANB,Media,8.85000000000013
2020-08-17,12.37,6.31,18.67,6.06,24.79,PLANB,Media,14.910000000000128
2020-08-18,11.65,12.52,24.17,-0.88,20.62,PLANB,Media,14.030000000000127
2020-08-19,8.73,13.38,22.12,-4.65,17.18,PLANB,Media,9.380000000000127
2020-08-20,6.23,4.34,10.57,1.9,25.45,PLANB,Media,11.280000000000127
2020-08-21,12.81,24.95,37.76,-12.13,23.35,PLANB,Media,-0.8499999999998735
2020-08-24,17.26,17.28,34.55,-0.02,11.68,PLANB,Media,-0.8699999999998735
2020-08-25,7.63,14.74,22.37,-7.12,12.55,PLANB,Media,-7.989999999999874
2020-08-26,39.64,14.44,54.08,25.19,10.0,PLANB,Media,17.200000000000127
2020-08-27,18.45,26.08,44.53,-7.64,20.19,PLANB,Media,9.560000000000127
2020-08-28,12.54,7.68,20.22,4.86,12.27,PLANB,Media,14.420000000000126
2020-08-31,11.65,17.98,29.63,-6.34,23.85,PLANB,Media,8.080000000000126
2020-09-01,4.49,5.27,9.77,-0.78,16.45,PLANB,Media,7.300000000000126
2020-09-02,5.86,5.52,11.38,0.34,23.4,PLANB,Media,7.640000000000126
2020-09-03,18.75,23.31,42.06,-4.55,13.94,PLANB,Media,3.090000000000126
2020-09-08,32.75,34.31,67.06,-1.56,11.28,PLANB,Media,1.530000000000126
2020-09-09,21.07,14.61,35.68,6.47,12.75,PLANB,Media,8.000000000000126
2020-09-10,9.12,11.69,20.81,-2.56,19.96,PLANB,Media,5.440000000000126
2020-09-11,7.65,20.88,28.53,-13.23,15.79,PLANB,Media,-7.789999999999875
2020-09-14,15.4,29.0,44.4,-13.6,16.15,PLANB,Media,-21.389999999999873
2020-09-15,6.32,7.42,13.74,-1.1,22.36,PLANB,Media,-22.489999999999874
2020-09-16,9.56,16.09,25.64,-6.53,14.46,PLANB,Media,-29.019999999999875
2020-09-17,4.63,12.99,17.62,-8.36,14.24,PLANB,Media,-37.379999999999875
2020-09-18,4.72,9.0,13.73,-4.28,25.8,PLANB,Media,-41.659999999999876
2020-09-21,6.13,16.21,22.34,-10.09,25.17,PLANB,Media,-51.74999999999987
2020-09-22,2.7,18.4,21.1,-15.7,23.44,PLANB,Media,-67.44999999999987
2020-09-23,5.51,14.6,20.11,-9.1,14.06,PLANB,Media,-76.54999999999987
2020-09-24,7.89,12.88,20.77,-4.99,16.09,PLANB,Media,-81.53999999999986
2020-09-25,2.42,14.42,16.85,-12.0,20.84,PLANB,Media,-93.53999999999986
2020-09-28,0.31,4.1,4.41,-3.8,12.09,PLANB,Media,-97.33999999999986
2020-09-29,50.92,22.63,73.55,28.29,17.74,PLANB,Media,-69.04999999999987
2020-09-30,21.47,55.74,77.21,-34.27,13.98,PLANB,Media,-103.31999999999988
2020-10-01,15.17,27.48,42.64,-12.31,17.81,PLANB,Media,-115.62999999999988
2020-10-02,17.37,24.48,41.84,-7.11,13.78,PLANB,Media,-122.73999999999988
2020-10-05,12.21,5.09,17.3,7.12,7.12,PLANB,Media,-115.61999999999988
2020-10-06,13.43,16.22,29.65,-2.79,17.27,PLANB,Media,-118.40999999999988
2020-10-07,37.77,5.29,43.06,32.49,25.65,PLANB,Media,-85.91999999999987
2020-10-08,38.15,21.1,59.25,17.05,15.38,PLANB,Media,-68.86999999999988
2020-10-09,47.97,19.72,67.7,28.25,16.25,PLANB,Media,-40.61999999999988
2020-10-12,8.59,10.04,18.63,-1.44,18.53,PLANB,Media,-42.059999999999874
2020-10-14,18.3,17.84,36.14,0.46,17.55,PLANB,Media,-41.59999999999987
2020-10-15,24.71,16.88,41.59,7.83,20.22,PLANB,Media,-33.769999999999875
2020-10-16,18.16,13.65,31.81,4.52,18.05,PLANB,Media,-29.249999999999876
2020-10-19,41.48,66.68,108.15,-25.2,21.63,PLANB,Media,-54.449999999999875
2020-10-20,13.9,29.11,43.01,-15.21,15.41,PLANB,Media,-69.65999999999988
2020-10-21,5.77,16.28,22.05,-10.51,21.54,PLANB,Media,-80.16999999999989
2020-10-22,10.43,33.46,43.89,-23.03,32.15,PLANB,Media,-103.19999999999989
2020-10-26,9.17,8.36,17.52,0.81,20.5,PLANB,Media,-102.38999999999989
2020-10-27,13.59,4.52,18.11,9.07,17.3,PLANB,Media,-93.31999999999988
2020-10-28,17.57,19.97,37.54,-2.39,27.65,PLANB,Media,-95.70999999999988
2020-10-29,11.67,9.76,21.44,1.91,30.95,PLANB,Media,-93.79999999999988
2020-10-30,4.96,8.85,13.81,-3.89,20.05,PLANB,Media,-97.68999999999988
2020-11-02,11.81,13.84,25.66,-2.03,15.2,PLANB,Media,-99.71999999999989
2020-11-03,1.86,7.39,9.25,-5.53,9.32,PLANB,Media,-105.24999999999989
2020-11-04,5.07,10.46,15.52,-5.39,13.66,PLANB,Media,-110.63999999999989
2020-11-05,15.96,5.73,21.69,10.22,11.49,PLANB,Media,-100.41999999999989
2020-11-06,40.0,10.52,50.52,29.47,25.34,PLANB,Media,-70.94999999999989
2020-11-09,13.26,6.14,19.4,7.11,25.11,PLANB,Media,-63.83999999999989
2020-11-10,44.51,25.77,70.28,18.74,13.77,PLANB,Media,-45.099999999999895
2020-11-11,14.49,26.82,41.31,-12.32,16.61,PLANB,Media,-57.419999999999895
2020-11-12,12.77,18.13,30.9,-5.36,16.39,PLANB,Media,-62.779999999999895
2020-11-13,10.72,12.48,23.2,-1.77,19.78,PLANB,Media,-64.5499999999999
2020-11-16,41.13,33.7,74.82,7.43,18.89,PLANB,Media,-57.1199999999999
2020-11-17,9.25,13.82,23.07,-4.58,14.29,PLANB,Media,-61.699999999999896
2020-11-18,10.46,8.54,19.0,1.92,22.01,PLANB,Media,-59.779999999999895
2020-11-19,23.84,6.11,29.95,17.73,10.92,PLANB,Media,-42.0499999999999
2020-11-20,28.94,6.16,35.1,22.79,18.7,PLANB,Media,-19.2599999999999
2020-11-23,18.27,28.0,46.28,-9.73,16.21,PLANB,Media,-28.9899999999999
2020-11-24,16.58,16.39,32.97,0.19,13.91,PLANB,Media,-28.799999999999898
2020-11-25,24.19,12.74,36.93,11.44,15.0,PLANB,Media,-17.3599999999999
2020-11-26,21.42,17.23,38.65,4.19,9.37,PLANB,Media,-13.169999999999899
2020-11-27,30.13,18.42,48.56,11.71,13.88,PLANB,Media,-1.4599999999998978
2020-11-30,17.35,48.49,65.83,-31.14,23.15,PLANB,Media,-32.599999999999895
2020-12-01,20.8,43.79,64.58,-22.99,19.27,PLANB,Media,-55.58999999999989
2020-12-02,113.92,91.03,204.95,22.9,24.1,PLANB,Media,-32.68999999999989
2020-12-03,22.21,11.92,34.13,10.28,10.52,PLANB,Media,-22.40999999999989
2020-12-04,65.59,17.32,82.91,48.27,14.98,PLANB,Media,25.860000000000113
2020-12-08,53.26,28.21,81.46,25.05,15.15,PLANB,Media,50.91000000000011
2020-12-09,37.3,36.94,74.24,0.36,17.22,PLANB,Media,51.27000000000011
2020-12-14,11.39,35.76,47.15,-24.36,18.47,PLANB,Media,26.91000000000011
2020-12-15,6.44,14.77,21.21,-8.32,14.22,PLANB,Media,18.59000000000011
2020-12-16,53.97,39.35,93.31,14.62,24.01,PLANB,Media,33.21000000000011
2020-12-17,20.07,12.86,32.93,7.22,17.78,PLANB,Media,40.430000000000106
2020-12-18,7.67,5.91,13.58,1.76,24.88,PLANB,Media,42.190000000000104
2020-12-21,33.57,18.23,51.8,15.34,12.12,PLANB,Media,57.5300000000001
2020-12-22,30.78,13.39,44.17,17.39,16.68,PLANB,Media,74.9200000000001
2020-12-23,15.79,16.01,31.8,-0.22,17.85,PLANB,Media,74.7000000000001
2020-12-24,9.2,8.89,18.08,0.31,13.48,PLANB,Media,75.0100000000001
2020-12-25,9.21,14.89,24.1,-5.69,14.02,PLANB,Media,69.3200000000001
2020-12-28,7.3,16.21,23.51,-8.91,16.48,PLANB,Media,60.41000000000011
2020-12-29,7.59,6.88,14.48,0.71,20.92,PLANB,Media,61.12000000000011
2020-12-30,19.55,19.78,39.34,-0.23,20.64,PLANB,Media,60.890000000000114
2021-01-04,42.47,19.71,62.17,22.76,29.67,PLANB,Media,83.65000000000012
2021-01-05,54.37,25.32,79.69,29.05,31.26,PLANB,Media,112.70000000000012
2021-01-06,4.99,31.37,36.36,-26.39,24.57,PLANB,Media,86.31000000000012
2021-01-07,10.97,11.84,22.81,-0.87,17.65,PLANB,Media,85.44000000000011
2021-01-08,208.46,22.95,231.41,185.51,42.67,PLANB,Media,270.9500000000001
2021-01-11,37.17,10.2,47.37,26.98,19.96,PLANB,Media,297.9300000000001
2021-01-12,55.88,21.42,77.3,34.45,22.32,PLANB,Media,332.3800000000001
2021-01-13,39.04,26.58,65.61,12.46,23.82,PLANB,Media,344.8400000000001
2021-01-14,31.19,22.37,53.56,8.82,20.14,PLANB,Media,353.6600000000001
2021-01-15,28.47,35.81,64.28,-7.34,32.27,PLANB,Media,346.3200000000001
2021-01-18,4.6,5.76,10.35,-1.16,16.05,PLANB,Media,345.1600000000001
2021-01-19,8.9,35.25,44.15,-26.35,19.62,PLANB,Media,318.81000000000006
2021-01-20,10.41,15.61,26.02,-5.21,21.94,PLANB,Media,313.6000000000001
2021-01-21,14.81,10.37,25.18,4.44,15.46,PLANB,Media,318.0400000000001
2021-01-22,11.25,8.89,20.14,2.36,14.85,PLANB,Media,320.4000000000001
2021-01-25,13.38,7.92,21.3,5.46,15.69,PLANB,Media,325.86000000000007
2021-01-26,13.43,10.93,24.36,2.5,17.97,PLANB,Media,328.36000000000007
2021-01-27,9.96,12.95,22.91,-2.99,32.93,PLANB,Media,325.37000000000006
2021-01-28,5.74,5.9,11.64,-0.16,22.95,PLANB,Media,325.21000000000004
2021-01-29,7.25,30.63,37.88,-23.38,31.16,PLANB,Media,301.83000000000004
2021-02-01,6.77,10.08,16.85,-3.31,22.26,PLANB,Media,298.52000000000004
2021-02-02,2.76,9.83,12.59,-7.07,13.03,PLANB,Media,291.45000000000005
2021-02-03,11.76,11.41,23.17,0.36,18.04,PLANB,Media,291.81000000000006
2021-02-04,10.32,4.2,14.52,6.12,14.41,PLANB,Media,297.93000000000006
2021-02-05,37.85,28.48,66.33,9.37,28.94,PLANB,Media,307.30000000000007
2021-02-08,47.67,19.8,67.47,27.86,15.26,PLANB,Media,335.1600000000001
2021-02-09,25.37,13.13,38.5,12.25,23.07,PLANB,Media,347.4100000000001
2021-02-10,10.99,17.13,28.12,-6.15,20.8,PLANB,Media,341.2600000000001
2021-02-11,3.83,5.02,8.85,-1.19,15.84,PLANB,Media,340.0700000000001
2021-02-15,6.08,19.33,25.41,-13.25,18.29,PLANB,Media,326.8200000000001
2021-02-16,10.94,8.69,19.63,2.25,11.54,PLANB,Media,329.0700000000001
2021-02-17,24.08,10.38,34.45,13.7,16.19,PLANB,Media,342.7700000000001
2021-02-18,17.79,36.72,54.5,-18.93,28.95,PLANB,Media,323.8400000000001
2021-02-19,0.99,14.16,15.15,-13.18,16.6,PLANB,Media,310.6600000000001
2021-02-22,10.22,14.51,24.73,-4.29,16.47,PLANB,Media,306.37000000000006
2021-02-23,6.09,2.83,8.91,3.26,14.82,PLANB,Media,309.63000000000005
2021-02-24,4.13,10.76,14.89,-6.63,15.46,PLANB,Media,303.00000000000006
2021-02-25,80.74,33.14,113.88,47.61,24.52,PLANB,Media,350.61000000000007
2021-03-01,59.2,22.89,82.09,36.31,22.33,PLANB,Media,386.9200000000001
2021-03-02,122.97,67.05,190.02,55.93,19.84,PLANB,Media,442.8500000000001
2021-03-03,33.88,46.57,80.46,-12.69,25.45,PLANB,Media,430.1600000000001
2021-03-04,44.49,46.63,91.12,-2.14,36.04,PLANB,Media,428.0200000000001
2021-03-05,42.22,25.53,67.75,16.69,27.75,PLANB,Media,444.7100000000001
2021-03-08,22.3,28.62,50.92,-6.33,20.54,PLANB,Media,438.3800000000001
2021-03-09,21.02,26.41,47.43,-5.39,26.4,PLANB,Media,432.9900000000001
2021-03-10,119.62,98.41,218.04,21.21,25.49,PLANB,Media,454.2000000000001
2021-03-11,20.27,39.34,59.62,-19.07,29.71,PLANB,Media,435.1300000000001
2021-03-12,21.32,34.55,55.87,-13.23,29.49,PLANB,Media,421.9000000000001
2021-03-15,22.31,14.2,36.5,8.11,29.94,PLANB,Media,430.0100000000001
2021-03-16,25.32,15.29,40.61,10.04,18.46,PLANB,Media,440.0500000000001
2021-03-17,26.3,16.85,43.15,9.45,16.91,PLANB,Media,449.5000000000001
2021-03-18,28.34,7.29,35.63,21.05,21.23,PLANB,Media,470.5500000000001
2021-03-19,37.39,47.72,85.11,-10.33,19.38,PLANB,Media,460.22000000000014
2021-03-22,25.99,32.52,58.5,-6.53,22.4,PLANB,Media,453.69000000000017
2021-03-23,15.91,28.04,43.95,-12.14,16.87,PLANB,Media,441.5500000000002
2021-03-24,18.87,55.83,74.7,-36.96,16.63,PLANB,Media,404.5900000000002
2021-03-25,42.01,53.52,95.53,-11.51,16.62,PLANB,Media,393.0800000000002
2021-03-26,62.97,28.38,91.36,34.59,21.35,PLANB,Media,427.6700000000002
2021-03-29,92.05,22.55,114.61,69.5,27.27,PLANB,Media,497.1700000000002
2021-03-30,54.84,34.44,89.27,20.4,35.43,PLANB,Media,517.5700000000002
2021-03-31,44.2,9.1,53.3,35.1,29.36,PLANB,Media,552.6700000000002
2021-04-01,28.62,7.43,36.05,21.19,22.36,PLANB,Media,573.8600000000002
2021-04-02,42.49,44.86,87.34,-2.37,18.78,PLANB,Media,571.4900000000002
2021-04-05,17.64,46.12,63.76,-28.48,22.99,PLANB,Media,543.0100000000002
2021-04-07,26.91,61.21,88.12,-34.3,21.73,PLANB,Media,508.7100000000002
2021-04-08,18.7,42.68,61.38,-23.98,31.71,PLANB,Media,484.7300000000002
2021-04-09,30.19,33.53,63.72,-3.34,19.51,PLANB,Media,481.3900000000002
2021-04-12,6.0,18.9,24.9,-12.91,10.0,PLANB,Media,468.4800000000002
